"동별(1)","동별(2)",항목,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"강동구","천호3동",한국인,26185,607,559,485,605,1365,2936,2932,2082,1913,1623,1986,1904,2214,1889,1178,906,609,269,96,17,10,26054,585,547,480,586,1311,2939,2969,2084,1911,1582,1966,1910,2167,1918,1158,923,626,264,102,18,8
"강동구","천호3동",등록외국인,487,10,11,9,12,35,69,47,53,39,35,60,54,33,12,6,2,0,0,0,0,0,485,8,9,8,13,36,77,49,54,36,34,57,55,29,12,6,2,-,-,-,-,-
"강동구","성내1동",계,19658,615,756,758,868,1054,1468,1602,1433,1709,1578,1602,1366,1533,1200,918,575,376,174,61,11,1,19542,601,724,758,840,1017,1488,1605,1412,1709,1578,1571,1406,1484,1224,905,596,378,175,56,12,3
"강동구","성내1동",한국인,19513,614,750,754,857,1050,1452,1573,1418,1694,1558,1596,1354,1529,1198,918,575,376,174,61,11,1,19391,598,717,754,831,1013,1472,1574,1397,1692,1557,1564,1395,1480,1222,905,596,378,175,56,12,3
"강동구","성내1동",등록외국인,145,1,6,4,11,4,16,29,15,15,20,6,12,4,2,0,0,0,0,0,0,0,151,3,7,4,9,4,16,31,15,17,21,7,11,4,2,-,-,-,-,-,-,-
"강동구","성내2동",계,23620,444,453,463,605,1210,2585,2509,1798,1735,1442,1783,1790,2108,1698,1195,868,582,254,76,20,2,24065,440,443,469,596,1257,2786,2658,1839,1723,1419,1805,1793,2071,1733,1197,897,576,263,77,20,3
"강동구","성내2동",한국인,23089,432,431,450,590,1173,2531,2459,1752,1689,1411,1723,1723,2054,1682,1188,867,582,254,76,20,2,23505,424,419,456,579,1209,2728,2612,1791,1680,1386,1741,1715,2023,1717,1190,896,576,263,77,20,3
"강동구","성내2동",등록외국인,531,12,22,13,15,37,54,50,46,46,31,60,67,54,16,7,1,0,0,0,0,0,560,16,24,13,17,48,58,46,48,43,33,64,78,48,16,7,1,-,-,-,-,-
"강동구","성내3동",계,22798,421,603,662,863,1353,2029,1899,1495,1764,1657,1986,1885,1908,1587,1077,821,494,218,62,8,6,22772,408,582,652,855,1379,1986,1919,1477,1739,1668,1974,1882,1911,1616,1089,834,494,228,63,11,5
"강동구","성내3동",한국인,22472,418,598,654,856,1322,1959,1860,1461,1735,1638,1962,1856,1889,1581,1074,821,494,218,62,8,6,22437,404,577,643,847,1346,1920,1875,1438,1712,1646,1952,1852,1894,1610,1086,834,494,228,63,11,5
"강동구","성내3동",등록외국인,326,3,5,8,7,31,70,39,34,29,19,24,29,19,6,3,0,0,0,0,0,0,335,4,5,9,8,33,66,44,39,27,22,22,30,17,6,3,-,-,-,-,-,-
"강동구","둔촌1동",계,71,0,1,3,2,0,9,6,6,8,6,8,4,8,4,3,2,0,1,0,0,0,61,-,1,2,2,-,8,6,4,9,4,7,4,5,5,2,1,-,1,-,-,-
"강동구","둔촌1동",한국인,62,0,1,3,2,0,7,4,6,7,5,6,4,7,4,3,2,0,1,0,0,0,52,-,1,2,2,-,6,4,4,8,3,5,4,4,5,2,1,-,1,-,-,-
"강동구","둔촌1동",등록외국인,9,0,0,0,0,0,2,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,9,-,-,-,-,-,2,2,-,1,1,2,-,1,-,-,-,-,-,-,-,-
"강동구","둔촌2동",계,24387,665,824,910,983,1339,1812,1915,1788,1901,1643,2084,1853,2188,1753,1138,767,470,229,94,29,2,24417,691,831,901,950,1318,1823,1921,1815,1908,1618,2062,1888,2113,1799,1169,766,469,247,98,27,3
"강동구","둔촌2동",한국인,24269,664,822,909,982,1337,1800,1898,1778,1888,1635,2071,1835,2174,1748,1138,766,470,229,94,29,2,24297,690,830,900,949,1316,1808,1903,1803,1896,1608,2051,1871,2100,1794,1169,765,469,247,98,27,3
"강동구","둔촌2동",등록외국인,118,1,2,1,1,2,12,17,10,13,8,13,18,14,5,0,1,0,0,0,0,0,120,1,1,1,1,2,15,18,12,12,10,11,17,13,5,-,1,-,-,-,-,-
"강동구","암사1동",계,34189,755,1019,1142,1233,1805,2582,2656,2322,2760,2452,2986,2877,3028,2385,1690,1177,786,380,130,22,2,34015,731,994,1118,1210,1785,2551,2634,2286,2743,2448,2978,2881,2969,2462,1695,1206,782,387,129,24,2
"강동구","암사1동",한국인,33893,744,1014,1138,1230,1790,2546,2620,2298,2738,2428,2948,2847,2998,2376,1683,1175,786,380,130,22,2,33729,721,990,1114,1207,1766,2518,2600,2263,2720,2422,2941,2853,2942,2455,1689,1204,782,387,129,24,2
"강동구","암사1동",등록외국인,296,11,5,4,3,15,36,36,24,22,24,38,30,30,9,7,2,0,0,0,0,0,286,10,4,4,3,19,33,34,23,23,26,37,28,27,7,6,2,-,-,-,-,-
"강동구","천호2동",계,33613,749,769,808,876,1576,3156,3587,2685,2673,2198,2588,2622,2971,2314,1603,1207,783,320,101,23,4,33425,723,759,799,872,1565,3143,3566,2611,2641,2167,2590,2671,2905,2340,1609,1202,808,324,103,22,5
"강동구","천호2동",한국인,32980,730,752,783,862,1544,3104,3515,2613,2619,2157,2515,2544,2923,2288,1594,1207,783,319,101,23,4,32786,705,742,772,857,1533,3094,3492,2541,2588,2128,2511,2589,2856,2315,1600,1202,808,323,103,22,5
"강동구","천호2동",등록외국인,633,19,17,25,14,32,52,72,72,54,41,73,78,48,26,9,0,0,1,0,0,0,639,18,17,27,15,32,49,74,70,53,39,79,82,49,25,9,-,-,1,-,-,-
"강동구","길동",계,44976,931,1130,1273,1388,2327,4081,4014,3247,3531,3043,3541,3616,4009,3407,2298,1551,939,429,182,29,10,45042,906,1116,1285,1345,2330,4074,4025,3255,3491,3045,3559,3659,3946,3495,2314,1582,956,441,178,30,10
"강동구","길동",한국인,44627,926,1126,1262,1383,2311,4022,3957,3210,3503,3008,3501,3592,3988,3402,2297,1551,938,429,182,29,10,44675,900,1110,1273,1339,2311,4014,3969,3215,3464,3006,3514,3636,3926,3489,2313,1582,955,441,178,30,10
"강동구","길동",등록외국인,349,5,4,11,5,16,59,57,37,28,35,40,24,21,5,1,0,1,0,0,0,0,367,6,6,12,6,19,60,56,40,27,39,45,23,20,6,1,-,1,-,-,-,-
"강동구","강일동",계,32810,1308,1493,1764,1784,1619,1776,1909,2291,2883,2546,2522,2256,2559,2377,1467,1046,662,350,163,27,8,34283,1461,1626,1803,1904,1718,1825,1962,2466,3021,2648,2665,2368,2585,2446,1500,1062,658,352,172,33,8
"강동구","강일동",한국인,32627,1308,1491,1761,1782,1610,1750,1870,2269,2866,2533,2509,2236,2551,2372,1466,1044,662,350,162,27,8,34099,1461,1625,1800,1903,1708,1799,1923,2443,3003,2635,2652,2351,2575,2440,1499,1060,658,352,171,33,8
"강동구","강일동",등록외국인,183,-,2,3,2,9,26,39,22,17,13,13,20,8,5,1,2,-,-,1,-,-,184,-,1,3,1,10,26,39,23,18,13,13,17,10,6,1,2,-,-,1,-,-
"강동구","상일1동",계,39412,1578,3022,2757,1962,1718,1773,2180,3031,4518,3527,2962,2495,2769,2297,1327,812,402,177,77,22,6,39440,1552,2967,2804,2016,1681,1766,2111,3029,4500,3560,2991,2530,2709,2360,1340,835,414,181,68,22,4
"강동구","상일1동",한국인,39288,1578,3021,2754,1961,1714,1764,2164,3011,4504,3508,2950,2481,2764,2295,1326,810,402,177,76,22,6,39317,1552,2965,2803,2015,1677,1757,2094,3009,4486,3541,2978,2517,2704,2358,1339,833,414,181,68,22,4
"강동구","상일1동",등록외국인,124,-,1,3,1,4,9,16,20,14,19,12,14,5,2,1,2,-,-,1,-,-,123,-,2,1,1,4,9,17,20,14,19,13,13,5,2,1,2,-,-,-,-,-
"강동구","상일2동",계,11872,556,477,708,650,759,814,858,822,978,820,941,831,702,655,486,372,235,133,56,16,3,11786,526,477,684,658,734,809,852,815,969,828,938,830,688,644,502,379,246,132,55,17,3
"강동구","상일2동",한국인,11822,556,476,708,650,757,807,853,820,969,816,935,825,697,655,484,372,234,133,56,16,3,11736,526,476,684,658,732,802,848,811,960,824,932,824,683,644,500,379,246,132,55,17,3
"강동구","상일2동",등록외국인,50,-,1,-,-,2,7,5,2,9,4,6,6,5,-,2,-,1,-,-,-,-,50,-,1,-,-,2,7,4,4,9,4,6,6,5,-,2,-,-,-,-,-,-
