"동별(1)","동별(2)",항목,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"강서구","화곡3동",계,21394,408,616,755,825,1179,1882,1779,1416,1581,1535,1662,1520,1758,1692,1163,810,517,195,82,16,3,21261,399,598,753,824,1139,1866,1745,1396,1582,1517,1643,1554,1713,1712,1173,812,519,209,88,16,3
"강서구","화곡3동",한국인,21252,401,612,754,825,1173,1870,1760,1399,1566,1521,1647,1505,1751,1687,1161,808,516,195,82,16,3,21108,392,595,752,824,1132,1851,1724,1377,1566,1499,1629,1537,1708,1707,1171,810,518,209,88,16,3
"강서구","화곡3동",등록외국인,142,7,4,1,0,6,12,19,17,15,14,15,15,7,5,2,2,1,0,0,0,0,153,7,3,1,-,7,15,21,19,16,18,14,17,5,5,2,2,1,-,-,-,-
"강서구","화곡4동",계,20133,396,478,605,638,983,1582,1627,1419,1689,1453,1697,1613,1748,1541,1079,781,483,224,80,17,0,20017,374,477,574,648,955,1574,1611,1396,1663,1436,1683,1648,1736,1534,1084,792,504,230,83,15,-
"강서구","화곡4동",한국인,19846,385,467,601,635,973,1564,1598,1379,1656,1429,1677,1579,1720,1530,1071,778,483,224,80,17,0,19721,362,465,569,645,943,1556,1583,1351,1631,1412,1662,1613,1706,1525,1077,789,504,230,83,15,-
"강서구","화곡4동",등록외국인,287,11,11,4,3,10,18,29,40,33,24,20,34,28,11,8,3,0,0,0,0,0,296,12,12,5,3,12,18,28,45,32,24,21,35,30,9,7,3,-,-,-,-,-
"강서구","화곡6동",계,25022,458,541,640,828,1430,2903,2762,1830,1839,1677,1899,1824,2033,1724,1135,708,461,224,83,20,3,26236,737,656,630,815,1431,2999,3009,2167,1955,1674,1911,1820,2008,1753,1149,722,470,224,83,20,3
"강서구","화곡6동",한국인,24742,451,533,637,821,1398,2859,2722,1792,1810,1656,1881,1814,2023,1716,1132,708,461,223,82,20,3,25951,731,649,628,811,1400,2947,2971,2126,1924,1653,1890,1810,1999,1746,1146,722,470,223,82,20,3
"강서구","화곡6동",등록외국인,280,7,8,3,7,32,44,40,38,29,21,18,10,10,8,3,0,0,1,1,0,0,285,6,7,2,4,31,52,38,41,31,21,21,10,9,7,3,-,-,1,1,-,-
"강서구","화곡8동",계,23993,424,560,654,773,1285,2361,2256,1658,1959,1736,1884,1730,1953,1699,1236,939,582,226,59,15,4,23888,410,540,655,783,1269,2330,2253,1653,1932,1710,1899,1763,1903,1713,1245,934,587,229,61,15,4
