"동별(1)","동별(2)",항목,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"종로구","종로1.2.3.4가동",계,8648,161,212,236,231,503,789,686,604,696,586,682,688,773,649,387,328,272,115,37,11,2,8492,179,211,223,223,472,783,690,599,702,546,679,662,741,655,385,322,258,114,35,11,2
"종로구","종로1.2.3.4가동",한국인,6730,75,83,108,98,312,656,557,398,452,398,542,590,711,620,377,321,268,114,37,11,2,6683,83,87,110,94,299,651,566,409,461,379,552,569,685,628,379,316,254,113,35,11,2
"종로구","종로1.2.3.4가동",등록외국인,1918,86,129,128,133,191,133,129,206,244,188,140,98,62,29,10,7,4,1,0,0,0,1809,96,124,113,129,173,132,124,190,241,167,127,93,56,27,6,6,4,1,-,-,-
"종로구","종로5.6가동",계,5916,57,108,97,160,554,902,608,375,303,312,425,474,464,334,231,241,163,75,27,6,0,5899,57,109,93,172,546,887,623,363,304,307,418,474,467,345,226,240,165,68,28,7,-
"종로구","종로5.6가동",한국인,5404,52,103,92,116,417,781,538,346,275,298,406,455,457,327,230,241,163,75,26,6,0,5384,53,103,89,114,410,770,552,337,278,293,400,457,458,338,225,240,165,68,27,7,-
"종로구","종로5.6가동",등록외국인,512,5,5,5,44,137,121,70,29,28,14,19,19,7,7,1,0,0,0,1,0,0,515,4,6,4,58,136,117,71,26,26,14,18,17,9,7,1,-,-,-,1,-,-
"종로구","이화동",계,7566,83,110,139,201,755,1156,862,480,458,373,519,517,521,427,334,248,220,116,35,12,0,7480,83,100,138,197,740,1139,844,474,447,370,530,501,534,414,330,254,224,116,33,12,-
"종로구","이화동",한국인,6988,79,105,138,183,525,1003,797,444,442,364,505,504,516,421,331,248,220,116,35,12,0,6899,75,96,137,179,505,990,783,437,433,360,517,485,528,408,327,254,224,116,33,12,-
"종로구","이화동",등록외국인,578,4,5,1,18,230,153,65,36,16,9,14,13,5,6,3,0,0,0,0,0,0,581,8,4,1,18,235,149,61,37,14,10,13,16,6,6,3,-,-,-,-,-,-
"종로구","창신1동",계,5350,58,64,78,119,394,509,437,316,278,301,434,535,604,448,285,212,179,75,22,2,0,5331,57,63,82,118,404,503,436,317,297,296,410,534,586,453,282,216,175,77,22,3,-
