"동별(1)","동별(2)",항목,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"은평구","응암1동",계,33075,984,1336,1286,1360,1775,2534,2745,2585,2957,2601,2737,2324,2236,1887,1315,1097,800,391,101,21,3,32969,942,1297,1286,1361,1762,2505,2757,2557,2931,2588,2714,2393,2203,1925,1294,1132,799,395,104,21,3
"은평구","응암1동",한국인,32772,981,1331,1283,1354,1757,2478,2700,2553,2930,2573,2715,2303,2222,1870,1312,1095,799,391,101,21,3,32658,939,1291,1283,1355,1742,2454,2709,2523,2904,2560,2690,2369,2189,1908,1291,1130,798,395,104,21,3
"은평구","응암1동",등록외국인,303,3,5,3,6,18,56,45,32,27,28,22,21,14,17,3,2,1,0,0,0,0,311,3,6,3,6,20,51,48,34,27,28,24,24,14,17,3,2,1,-,-,-,-
"은평구","응암2동",계,27782,1186,1592,1478,1107,1181,1324,1855,2441,3145,2519,2234,1744,1674,1508,1010,800,582,287,94,17,4,27544,1169,1569,1500,1102,1168,1332,1835,2418,3105,2492,2218,1729,1626,1512,1004,791,572,290,96,12,4
"은평구","응암2동",한국인,27581,1179,1588,1476,1103,1169,1316,1829,2405,3113,2505,2219,1730,1663,1504,1005,798,580,284,94,17,4,27344,1162,1565,1498,1098,1155,1323,1808,2383,3074,2478,2203,1715,1615,1508,1000,790,570,287,96,12,4
"은평구","응암2동",등록외국인,201,7,4,2,4,12,8,26,36,32,14,15,14,11,4,5,2,2,3,0,0,0,200,7,4,2,4,13,9,27,35,31,14,15,14,11,4,4,1,2,3,-,-,-
"은평구","신사1동",계,26761,524,727,827,996,1496,2146,2111,1769,1993,1940,2309,2121,2333,1917,1300,1049,746,339,94,22,2,26688,497,708,826,981,1499,2124,2096,1742,2005,1895,2333,2153,2304,1949,1297,1057,762,333,102,23,2
"은평구","신사1동",한국인,26543,520,723,824,992,1487,2123,2080,1738,1970,1925,2289,2098,2315,1911,1297,1049,746,339,94,21,2,26472,493,704,823,977,1490,2103,2067,1711,1981,1881,2312,2129,2286,1943,1294,1057,762,333,102,22,2
"은평구","신사1동",등록외국인,218,4,4,3,4,9,23,31,31,23,15,20,23,18,6,3,0,0,0,0,1,0,216,4,4,3,4,9,21,29,31,24,14,21,24,18,6,3,-,-,-,-,1,-
"은평구","신사2동",계,19153,359,494,626,769,1011,1494,1449,1191,1423,1352,1678,1543,1704,1483,956,720,536,256,90,14,5,19101,344,496,616,744,996,1494,1472,1174,1430,1304,1686,1565,1691,1480,972,726,531,269,90,16,5
"은평구","신사2동",한국인,18997,358,491,624,764,1000,1471,1426,1169,1409,1338,1665,1530,1701,1478,954,720,534,256,90,14,5,18934,342,494,614,739,981,1471,1447,1150,1415,1290,1673,1551,1688,1474,970,726,529,269,90,16,5
"은평구","신사2동",등록외국인,156,1,3,2,5,11,23,23,22,14,14,13,13,3,5,2,0,2,0,0,0,0,167,2,2,2,5,15,23,25,24,15,14,13,14,3,6,2,-,2,-,-,-,-
"은평구","증산동",계,18523,529,562,605,774,1058,1345,1410,1267,1340,1298,1650,1455,1522,1348,844,694,515,227,56,20,4,18415,521,567,583,754,1063,1322,1423,1255,1346,1255,1668,1442,1495,1347,850,704,508,233,52,24,3
"은평구","증산동",한국인,18369,525,554,602,769,1052,1330,1390,1245,1322,1287,1643,1441,1513,1342,840,693,514,227,56,20,4,18258,517,559,580,748,1051,1310,1402,1232,1328,1244,1661,1429,1488,1341,846,703,507,233,52,24,3
"은평구","증산동",등록외국인,154,4,8,3,5,6,15,20,22,18,11,7,14,9,6,4,1,1,0,0,0,0,157,4,8,3,6,12,12,21,23,18,11,7,13,7,6,4,1,1,-,-,-,-
"은평구","수색동",계,19225,820,822,572,788,1075,1310,1659,1677,1470,1316,1807,1559,1378,1115,679,484,405,206,65,16,2,20560,904,856,608,859,1193,1378,1824,1807,1608,1412,1907,1657,1463,1150,727,504,404,211,70,17,1
"은평구","수색동",한국인,19120,816,817,571,785,1072,1301,1645,1656,1451,1310,1801,1558,1371,1113,677,483,405,205,65,16,2,20441,898,849,607,856,1188,1370,1805,1783,1586,1406,1901,1656,1457,1148,725,504,404,210,70,17,1
